url_length,use_https,domain_length,num_subdomains,path_length,use_ip,count_slash,count_dot,count_ampersand,count_at,count_dash,count_equals,count_question,count_semicolon,count_digits,label
58,0,19,1,32,0,4,2,0,0,0,0,0,0,0,0
48,1,17,1,23,0,3,3,0,0,0,0,0,0,0,0
59,0,17,1,35,0,5,3,0,0,0,0,0,0,0,0
45,1,13,1,24,0,5,3,0,0,0,0,0,0,5,0
43,0,14,1,22,0,4,2,0,0,0,0,0,0,0,0
38,0,27,1,4,0,3,2,0,0,0,0,0,0,0,0
64,0,17,1,40,0,6,2,0,0,0,0,0,0,6,0
36,0,18,1,11,0,4,2,0,0,0,0,0,0,0,0
43,0,12,1,24,0,5,3,0,0,0,0,0,0,2,0
124,0,13,1,104,0,9,3,0,0,0,0,0,0,4,0
56,0,17,1,32,0,5,3,0,0,0,0,0,0,3,0
170,0,16,2,147,0,14,4,0,0,0,0,0,0,13,0
81,0,21,2,17,0,4,7,2,0,0,3,1,0,10,0
93,0,13,1,73,0,13,3,0,0,0,0,0,0,11,0
49,1,16,1,25,0,4,2,0,0,0,0,0,0,0,0
60,0,15,0,38,0,6,2,0,0,0,0,0,0,7,0
35,0,14,1,14,0,5,2,0,0,0,0,0,0,1,0
93,0,19,1,67,0,7,2,0,0,0,0,0,0,5,0
77,1,18,1,51,0,6,3,0,0,0,0,0,0,4,0
103,1,13,1,82,0,6,2,0,0,0,0,0,0,12,0
30,1,16,1,6,0,4,2,0,0,0,0,0,0,0,0
43,1,16,1,19,0,4,2,0,0,0,0,0,0,0,0
38,1,16,1,14,0,4,2,0,0,0,0,0,0,0,0
40,1,16,1,16,0,5,2,0,0,0,0,0,0,0,0
55,1,17,1,30,0,4,3,0,0,0,0,0,0,5,0
33,1,11,0,14,0,3,1,0,0,0,0,0,0,0,0
37,0,16,1,14,0,4,2,0,0,0,0,0,0,0,0
87,0,26,1,54,0,3,3,0,0,0,0,0,0,0,0
81,1,15,1,19,0,5,6,0,0,0,1,1,0,0,0
63,0,21,0,35,0,5,2,0,0,0,0,0,0,0,0
58,0,12,1,39,0,4,2,0,0,0,0,0,0,0,0
46,0,21,1,18,0,5,2,0,0,0,0,0,0,10,0
105,1,16,1,63,0,5,2,0,0,0,1,1,0,15,0
21,0,13,1,1,0,3,2,0,0,0,0,0,0,0,0
114,0,17,1,24,0,5,5,1,0,0,2,1,0,12,0
19,0,11,0,1,0,3,1,0,0,0,0,0,0,0,0
51,1,16,1,27,0,4,2,0,0,0,0,0,0,0,0
56,1,16,1,32,0,4,2,0,0,0,0,0,0,0,0
49,0,21,1,21,0,5,2,0,0,0,0,0,0,5,0
71,1,16,1,47,0,5,2,0,0,0,0,0,0,0,0
89,1,23,1,58,0,8,3,0,0,0,0,0,0,1,0
56,1,16,1,32,0,4,2,0,0,0,0,0,0,0,0
42,0,17,1,18,0,3,3,0,0,0,0,0,0,0,0
37,0,19,1,11,0,3,3,0,0,0,0,0,0,0,0
30,0,22,0,1,0,3,1,0,0,0,0,0,0,0,0
42,0,15,1,20,0,4,3,0,0,0,0,0,0,2,0
52,0,27,1,18,0,3,3,0,0,0,0,0,0,0,0
54,0,17,1,30,0,4,3,0,0,0,0,0,0,0,0
91,0,16,1,68,0,6,2,0,0,0,0,0,0,6,0
60,0,26,1,27,0,4,2,0,0,0,0,0,0,0,0
49,0,20,1,22,0,4,3,0,0,0,0,0,0,2,0
83,0,21,2,17,0,4,7,2,0,0,3,1,0,12,0
41,1,16,1,17,0,4,2,0,0,0,0,0,0,0,0
101,0,21,1,1,0,8,3,0,0,0,0,1,0,5,0
75,0,16,1,52,0,7,3,0,0,0,0,0,0,12,0
49,0,18,1,24,0,5,3,0,0,0,0,0,0,6,0
42,1,16,1,18,0,4,2,0,0,0,0,0,0,0,0
41,0,8,0,26,0,5,2,0,0,0,0,0,0,5,0
68,0,38,1,23,0,4,2,0,0,0,0,0,0,0,0
138,1,12,1,118,0,7,3,0,0,0,0,0,0,3,0
74,1,15,1,51,0,6,3,0,0,0,0,0,0,0,0
44,1,25,1,11,0,4,2,0,0,0,0,0,0,0,0
91,1,12,1,7,0,3,2,1,0,0,2,1,0,1,0
64,0,36,1,21,0,4,3,0,0,0,0,0,0,0,0
40,0,15,1,18,0,3,2,0,0,0,0,0,0,0,0
49,0,15,1,27,0,5,2,0,0,0,0,0,0,0,0
40,0,7,0,26,0,6,1,0,0,0,0,0,0,1,0
51,0,32,1,12,0,5,2,0,0,0,0,0,0,0,0
59,1,26,1,25,0,6,2,0,0,0,0,0,0,0,0
71,1,19,1,44,0,6,2,0,0,0,0,0,0,0,0
43,1,16,1,19,0,4,2,0,0,0,0,0,0,0,0
43,1,15,1,6,0,3,2,0,0,0,1,1,0,0,0
43,1,15,1,6,0,3,2,0,0,0,1,1,0,2,0
57,1,21,1,28,0,4,2,0,0,0,0,0,0,0,0
93,1,18,2,67,0,8,4,0,0,0,0,0,0,0,0
43,0,14,1,22,0,5,3,0,0,0,0,0,0,6,0
63,1,13,0,42,0,3,1,0,0,0,0,0,0,3,0
38,0,17,1,14,0,3,2,0,0,0,0,0,0,0,0
61,0,15,1,39,0,3,2,0,0,0,0,0,0,0,0
69,1,14,1,47,0,5,3,0,0,0,0,0,0,17,0
46,1,16,1,22,0,4,2,0,0,0,0,0,0,0,0
39,0,19,1,13,0,3,3,0,0,0,0,0,0,0,0
43,0,19,1,17,0,3,3,0,0,0,0,0,0,0,0
60,0,19,1,34,0,4,3,0,0,0,0,0,0,0,0
61,0,18,1,36,0,4,3,0,0,0,0,0,0,0,0
86,0,23,2,56,0,6,4,0,0,0,0,0,0,6,0
60,0,19,1,34,0,4,3,0,0,0,0,0,0,0,0
109,0,15,1,87,0,7,2,0,0,0,0,0,0,0,0
50,0,17,1,26,0,4,3,0,0,0,0,0,0,0,0
27,0,14,0,6,0,4,1,0,0,0,0,0,0,4,0
54,1,17,1,29,0,4,3,0,0,0,0,0,0,0,0
52,1,17,1,27,0,4,3,0,0,0,0,0,0,0,0
44,0,20,1,17,0,3,2,0,0,0,0,0,0,0,0
78,1,25,1,45,0,6,2,0,0,0,0,0,0,7,0
61,1,21,1,32,0,4,2,0,0,0,0,0,0,0,0
53,0,14,1,19,0,4,2,0,0,0,1,1,0,4,0
42,1,14,2,20,0,6,3,0,0,0,0,0,0,2,0
55,0,25,1,23,0,4,3,0,0,0,0,0,0,0,0
28,1,15,1,5,0,3,2,0,0,0,0,0,0,0,0
30,1,14,1,7,0,4,2,0,0,0,0,1,0,0,0
98,0,17,1,74,0,5,2,0,0,0,0,0,0,6,0
58,0,18,1,33,0,4,2,0,0,0,0,0,0,0,0
59,1,14,1,37,0,5,2,0,0,0,0,0,0,8,0
69,0,23,1,39,0,3,3,0,0,0,0,0,0,6,0
43,1,16,1,19,0,4,2,0,0,0,0,0,0,0,0
53,1,11,0,34,0,5,1,0,0,0,0,0,0,0,0
26,0,18,1,1,0,3,2,0,0,0,0,0,0,0,0
32,0,20,1,5,0,3,2,0,0,0,0,0,0,4,0
49,1,13,0,28,0,4,1,0,0,0,0,0,0,0,0
57,0,15,1,35,0,5,3,0,0,0,0,0,0,0,0
24,0,16,1,1,0,3,2,0,0,0,0,0,0,0,0
33,0,12,1,14,0,4,2,0,0,0,0,0,0,0,0
63,0,14,1,42,0,5,2,0,0,0,0,0,0,0,0
55,0,14,1,34,0,4,2,0,0,0,0,0,0,0,0
40,1,8,0,24,0,3,1,0,0,0,0,0,0,0,0
87,1,17,1,62,0,4,3,0,0,0,0,0,0,6,0
66,0,16,1,43,0,4,2,0,0,0,0,0,0,0,0
67,1,17,1,42,0,5,3,0,0,0,0,0,0,0,0
67,1,16,1,43,0,4,2,0,0,0,0,0,0,0,0
79,0,21,1,51,0,4,2,0,0,0,0,0,0,8,0
98,1,21,0,69,0,6,1,0,0,0,0,0,0,8,0
38,1,7,0,23,0,3,1,0,0,0,0,0,0,0,0
91,1,34,2,49,0,5,3,0,0,0,0,0,0,0,0
55,0,18,1,30,0,8,2,0,0,0,0,0,0,8,0
69,0,19,1,43,0,6,2,0,0,0,0,0,0,6,0
74,1,27,1,39,0,5,2,0,0,0,0,0,0,8,0
44,0,15,1,22,0,5,2,0,0,0,0,0,0,0,0
90,0,18,0,65,0,7,2,0,0,0,0,0,0,6,0
84,0,20,0,57,0,4,1,0,0,0,0,0,0,0,0
49,1,20,1,21,0,4,2,0,0,0,0,0,0,0,0
49,0,17,1,25,0,4,3,0,0,0,0,0,0,2,0
84,0,19,1,58,0,5,3,0,0,0,0,0,0,8,0
61,0,22,1,32,0,4,3,0,0,0,0,0,0,0,0
73,1,28,2,37,0,5,4,0,0,0,0,0,0,6,0
143,0,24,1,112,0,8,3,0,0,0,0,0,0,12,0
38,0,17,1,14,0,3,3,0,0,0,0,0,0,1,0
75,1,19,1,48,0,3,3,0,0,0,0,0,0,4,0
112,0,16,1,89,0,6,3,0,0,0,0,0,0,4,0
47,0,16,1,24,0,4,2,0,0,0,0,0,0,0,0
56,0,17,1,32,0,4,2,0,0,0,0,0,0,0,0
40,1,16,1,16,0,4,2,0,0,0,0,0,0,0,0
43,0,25,1,11,0,3,2,0,0,0,0,0,0,0,0
53,1,23,1,22,0,4,2,0,0,0,0,0,0,0,0
43,0,18,1,18,0,4,2,0,0,0,0,0,0,0,0
44,0,20,1,17,0,4,2,0,0,0,0,0,0,0,0
42,0,17,1,18,0,4,2,0,0,0,0,0,0,0,0
40,0,22,1,11,0,3,2,0,0,0,0,0,0,0,0
41,1,17,1,16,0,4,2,0,0,0,0,0,0,0,0
32,0,14,0,11,0,3,1,0,0,0,0,0,0,0,0
42,1,16,1,18,0,3,2,0,0,0,0,0,0,0,0
